base,impact,exploitability,temporal,environmental,modified.impact,overall,critical
5,1,1,1,2,1,3,FALSE
5,4,4,5,7,10,3,FALSE
3,1,1,1,2,2,3,FALSE
6,8,8,1,3,4,3,FALSE
4,1,1,3,2,1,3,FALSE
8,10,10,8,7,10,9,TRUE
1,1,1,1,2,10,3,FALSE
2,1,2,1,2,1,3,FALSE
2,1,1,1,2,1,1,FALSE
4,2,1,1,2,1,2,FALSE
1,1,1,1,1,1,3,FALSE
2,1,1,1,2,1,2,FALSE
5,3,3,3,2,3,4,TRUE
1,1,1,1,2,3,3,FALSE
8,7,5,10,7,9,5,TRUE
7,4,6,4,6,1,4,TRUE
4,1,1,1,2,1,2,FALSE
4,1,1,1,2,1,3,FALSE
10,7,7,6,4,10,4,TRUE
6,1,1,1,2,1,3,FALSE
7,3,2,10,5,10,5,TRUE
10,5,5,3,6,7,7,TRUE
3,1,1,1,2,1,2,FALSE
1,1,1,1,2,1,3,FALSE
5,2,3,4,2,7,3,TRUE
3,2,1,1,1,1,2,FALSE
5,1,1,1,2,1,2,FALSE
2,1,1,1,2,1,2,FALSE
1,1,3,1,2,1,1,FALSE
3,1,1,1,1,1,2,FALSE
2,1,1,1,2,1,3,FALSE
10,7,7,3,8,5,7,TRUE
2,1,1,2,2,1,3,FALSE
3,1,2,1,2,1,2,FALSE
2,1,1,1,2,1,2,FALSE
10,10,10,8,6,1,8,TRUE
6,2,1,1,1,1,7,FALSE
5,4,4,9,2,10,5,TRUE
2,5,3,3,6,7,7,TRUE
10,4,3,1,3,3,6,TRUE
6,10,10,2,8,10,7,TRUE
5,6,5,6,10,1,3,TRUE
10,10,10,4,8,1,8,TRUE
1,1,1,1,2,1,2,FALSE
3,7,7,4,4,9,4,TRUE
1,1,1,1,2,1,2,FALSE
4,1,1,3,2,1,3,FALSE
7,8,7,2,4,8,3,TRUE
9,5,8,1,2,3,2,TRUE
5,3,3,4,2,4,3,TRUE
10,3,6,2,3,5,4,TRUE
5,5,5,8,10,8,7,TRUE
10,5,5,6,8,8,7,TRUE
10,6,6,3,4,5,3,TRUE
8,10,10,1,3,6,3,TRUE
8,2,4,1,5,1,5,TRUE
5,2,3,1,6,10,5,TRUE
9,5,5,2,2,2,5,TRUE
5,3,5,5,3,3,4,TRUE
1,1,1,1,2,2,2,FALSE
9,10,10,1,10,8,3,TRUE
6,3,4,1,5,2,3,TRUE
1,1,1,1,2,1,2,FALSE
10,4,2,1,3,2,4,TRUE
4,1,1,1,2,1,3,FALSE
5,3,4,1,8,10,4,TRUE
8,3,8,3,4,9,8,TRUE
1,1,1,1,2,1,3,FALSE
5,1,3,1,2,1,2,FALSE
6,10,2,8,10,2,7,TRUE
1,3,3,2,2,1,7,FALSE
9,4,5,10,6,10,4,TRUE
10,6,4,1,3,4,3,TRUE
1,1,2,1,2,2,4,FALSE
1,1,4,1,2,1,2,FALSE
5,3,1,2,2,1,2,FALSE
3,1,1,1,2,3,3,FALSE
2,1,1,1,3,1,2,FALSE
2,2,2,1,1,1,7,FALSE
4,1,1,2,2,1,2,FALSE
5,2,1,1,2,1,3,FALSE
3,1,1,1,2,2,7,FALSE
3,5,7,8,8,9,7,TRUE
5,10,6,1,10,4,4,TRUE
3,3,6,4,5,8,4,TRUE
3,6,6,6,5,10,6,TRUE
4,1,1,1,2,1,3,FALSE
2,1,1,2,3,1,2,FALSE
1,1,1,1,2,1,3,FALSE
3,1,1,2,2,1,1,FALSE
4,1,1,1,2,1,3,FALSE
1,1,1,1,2,1,2,FALSE
2,1,1,1,2,1,3,FALSE
1,1,1,1,2,1,3,FALSE
2,1,1,2,2,1,1,FALSE
5,1,1,1,2,1,3,FALSE
9,6,9,2,10,6,2,TRUE
7,5,6,10,5,10,7,TRUE
10,3,5,1,10,5,3,TRUE
2,3,4,4,2,5,2,TRUE
4,1,2,1,2,1,3,FALSE
8,2,3,1,6,3,7,TRUE
10,10,10,10,10,1,8,TRUE
7,3,4,4,3,3,3,TRUE
10,10,10,8,2,10,4,TRUE
1,6,8,10,8,10,5,TRUE
1,1,1,1,2,1,2,FALSE
6,5,4,4,3,9,7,TRUE
1,3,1,2,2,2,5,FALSE
8,6,4,3,5,9,3,TRUE
10,3,3,10,2,10,7,TRUE
10,10,10,3,10,8,8,TRUE
3,3,2,1,2,3,3,FALSE
1,1,1,1,2,5,1,FALSE
8,3,3,1,2,2,3,FALSE
4,5,5,10,4,10,7,TRUE
1,1,1,1,4,3,1,FALSE
3,2,1,1,2,2,3,FALSE
1,1,2,2,2,1,3,FALSE
4,2,1,1,2,2,3,FALSE
10,10,10,2,10,10,5,TRUE
5,3,5,1,8,10,5,TRUE
5,4,6,7,9,7,8,TRUE
